Glon,Glat,ra,dec,HIP,vmag,VarFlag,BTmag,VTmag,B-V
326.1931,63.0587,203.173761,2.065309,66071,8.68,,10.431,8.847000000000001,1.328
201.7818,-60.9425,42.997226,-18.360808,13368,8.68,,9.148,8.698,0.43799999999999994
216.116,-79.6512,24.496133,-27.222478999999996,7606,8.68,,9.826,8.774,0.9129999999999999
255.4538,-68.7697,33.250547999999995,-40.005695,10325,8.68,,9.761000000000001,8.791,0.86
153.1044,68.6702,177.92958000000002,44.798116,57845,8.67,,9.298,8.586,0.655
272.0197,57.3233,176.750123,-1.629338,57485,8.67,,9.165,8.743,0.42
16.9099,60.7782,222.100829,16.142739000000002,72414,8.67,,9.43,8.728,0.647
128.6443,-77.4803,14.137516,-14.665253,4414,8.67,,9.135,8.711,0.428
191.8299,31.3282,124.892223,30.716428999999998,40795,8.67,,10.244000000000002,8.796,1.2209999999999999
124.4596,38.832,187.01748600000002,78.226875,60828,8.67,,9.986,8.785,1.028
19.0461,-44.1928,320.76313500000003,-28.098947999999996,105578,8.66,,9.008,8.679,0.317
92.3307,-31.3053,344.26029900000003,24.682228,113323,8.66,,9.56,8.76,0.7240000000000001
260.76,52.3153,168.605519,-2.428024,54898,8.66,,9.097000000000001,8.693999999999999,0.381
198.0697,-75.962,27.589322999999997,-22.767584,8554,8.66,,10.651,8.841000000000001,1.507
178.6653,-16.3645,70.776454,20.629998,21953,8.66,,9.293,8.722999999999999,0.5329999999999999
0.7333,-23.6536,292.704165,-38.121967,95956,8.66,,10.091000000000001,8.77,1.122
35.3436,44.8535,241.93312400000002,20.374417,79017,8.66,,9.104,8.676,0.40399999999999997
226.7362,55.7092,158.37741499999998,14.897445999999999,51682,8.66,,9.038,8.698,0.32299999999999995
46.5641,-56.0105,338.611915,-15.118141,111424,8.65,,9.255,8.72,0.509
191.5599,29.1197,122.349764,30.347045,39940,8.65,,9.187999999999999,8.658999999999999,0.496
189.561,-58.0335,42.595428000000005,-11.533041,13236,8.65,,9.368,8.72,0.601
309.2225,29.9558,199.329738,-32.599604,64824,8.65,,9.857999999999999,8.737,0.965
112.7444,62.7751,200.720196,53.726769999999995,65290,8.65,,9.779,8.758,0.89
335.2861,61.621,207.60945800000002,2.5127580000000003,67546,8.64,,10.735999999999999,8.839,1.5759999999999998
52.841,41.5849,248.847827,31.960534999999997,81222,8.64,,10.02,8.786,1.054
171.5915,85.2696,188.751381,30.192667,61409,8.63,,9.238999999999999,8.655,0.513
10.4379,31.4294,244.995015,-3.024934,80012,8.63,,10.033,8.725,1.111
22.6348,57.0619,226.922594,17.228737,74028,8.63,,9.317,8.68,0.5920000000000001
89.526,-46.5791,350.235612,10.339386,115285,8.62,,9.866,8.752,0.96
6.5361,8.1001,262.669986,-19.115121,85690,8.62,,9.35,8.699,0.6940000000000001
93.2875,-29.8116,344.234193,26.387867,113317,8.61,,10.322000000000001,8.74,1.3259999999999998
110.0836,-55.1239,5.499118,7.011660000000001,1738,8.61,,10.302,8.724,1.3230000000000002
