HIP,gLon,gLat,ra,dec,vmag
10602,275.3521,-60.8184,34.127439,-51.512165,3.56
44471,172.6273,41.6333,135.906361,47.156525,3.57
37740,195.8479,21.9723,116.111892,24.397993,3.57
71053,47.2953,67.8043,217.957458,30.371437,3.57
75177,333.9602,17.393,230.451542,-36.261376,3.57
35350,200.9167,13.2276,109.52324499999999,16.540383,3.58
100064,31.0968,-24.8097,304.51356400000003,-12.544852,3.58
57757,270.5204,60.7556,177.673827,1.764718,3.59
24674,208.2771,-23.9599,79.401625,-6.844409,3.59
27072,226.7951,-24.2721,86.11579300000001,-22.448382000000002,3.59
7607,130.8143,-13.5295,24.49815,48.628213,3.59
60260,299.2235,2.2537,185.340039,-60.401146999999995,3.59
46651,266.7768,7.91,142.675001,-40.466769,3.6
33018,182.1051,15.0155,103.197243,33.961254,3.6
6537,146.5933,-69.5436,21.005854,-8.183257000000001,3.6
85727,331.2703,-14.3557,262.774638,-60.683848,3.6
76470,341.885,21.9451,234.256041,-28.135078999999998,3.6
42536,270.2508,-6.8002,130.073272,-52.921887,3.6
86929,328.4012,-17.7503,266.43327999999997,-64.723872,3.61
13209,152.9774,-28.606,42.495968,27.260507,3.61
49841,253.005,34.4964,152.646989,-12.354083000000001,3.61
63613,303.7981,-8.6953,195.56776399999998,-71.548855,3.61
15900,174.1178,-38.1563,51.203307,9.02887,3.61
113726,102.2075,-16.0961,345.480268,42.325979,3.62
37819,252.3944,-6.7357,116.31373300000001,-37.968584,3.62
82729,343.0972,0.7862,253.64585499999998,-42.361313,3.62
7097,137.0088,-46.4285,22.870873,15.345823000000001,3.62
57363,296.4839,-4.6848,176.401746,-66.728763,3.63
101769,58.881,-15.6502,309.387254,14.595087,3.64
77233,25.98,47.8725,236.546902,15.421826000000001,3.65
46733,150.6399,41.7431,142.882117,63.061861,3.65
110960,65.3539,-46.3309,337.207967,-0.019972,3.65
20205,179.0835,-23.8157,64.948349,15.627642000000002,3.65
88714,343.3304,-13.8187,271.657796,-50.091477000000005,3.65
75695,45.5866,55.6161,231.957212,29.105703000000002,3.66
76600,341.0645,20.4482,234.66404,-29.777753999999998,3.66
103227,338.1578,-38.8526,313.702513,-58.45415500000001,3.67
68756,110.5235,50.9587,211.097291,64.375851,3.67
22549,192.8903,-23.5223,72.801516,5.605104,3.68
97365,55.7668,-3.3834,296.846927,18.534285999999998,3.68
42828,254.9931,5.7696,130.898073,-33.186386,3.68
114341,41.7602,-66.0316,347.361655,-21.17241,3.68
57399,150.3192,65.7233,176.512558,47.779406,3.69
9007,280.8657,-62.6661,28.989468,-51.608896,3.69
106985,35.998,-44.6726,325.022735,-16.662308,3.69
47854,283.199,-7.0038,146.311714,-62.507903000000006,3.69
2920,120.7757,-8.9142,9.242853,53.896908999999994,3.69
15474,212.0889,-55.9958,49.879175,-21.757864,3.7
114971,82.48,-52.0263,349.291408,3.282289,3.7
87933,54.9097,23.7653,269.44119,29.24788,3.7
38414,255.3472,-6.8585,118.05431200000001,-40.575786,3.71
28103,219.7556,-18.4714,89.10122,-14.1677,3.71
22797,196.2669,-24.5625,73.56290200000001,2.440672,3.71
77622,13.1513,41.6591,237.704025,4.47773,3.71
98036,46.1264,-11.0944,298.828306,6.406763,3.71
88771,36.5911,14.0959,271.837434,9.563847,3.71
16537,195.8465,-48.0493,53.232684,-9.458262,3.72
104060,85.9294,-2.0779,316.23276200000004,43.927852,3.72
28358,158.9513,14.6878,89.881819,54.284656000000005,3.72
87585,85.1664,30.2294,268.382206,56.872643000000004,3.73
72220,355.2809,52.6801,221.56218399999997,1.892885,3.73
107089,314.2893,-35.1891,325.36936000000003,-77.390046,3.73
112961,62.1916,-55.7326,343.15365,-7.579599000000001,3.73
104887,82.8527,-7.4326,318.697882,38.045317,3.74
80170,35.2586,41.2998,245.48006,19.153129999999997,3.74
8645,165.8819,-68.048,27.865140000000004,-10.335038,3.74
44511,268.1982,-0.1405,136.038668,-47.097737,3.75
87108,28.0158,15.36,266.973169,2.707276,3.75
27654,225.8326,-22.2184,87.830399,-20.879089,3.76
95853,83.6116,15.4487,292.426496,51.729779,3.76
30867,216.6614,-8.2139,97.204458,-7.033061999999999,3.76
111169,101.2593,-6.5979,337.822921,50.282491,3.76
26069,271.7338,-32.7744,83.406324,-62.489825,3.76
93683,14.7142,-12.5124,286.170757,-21.741495999999998,3.76
17529,153.832,-9.6326,56.298466000000005,42.578549,3.77
42570,265.2823,-2.9457,130.156541,-46.648744,3.77
20455,178.0152,-22.0087,65.733722,17.542514,3.77
105881,26.9782,-43.5887,321.666775,-22.411332,3.77
101958,60.3035,-15.3203,309.909531,15.912072,3.77
13268,139.1449,-3.1762,42.674209000000005,55.895495999999994,3.77
41312,280.2612,-15.8429,126.43414399999999,-66.13689000000001,3.77
109176,82.2594,-24.2581,331.752775,25.345112,3.77
82363,329.6352,-9.1638,252.446485,-59.041378,3.77
53253,288.1818,0.5989,163.37356699999998,-58.853170999999996,3.78
